namme_common,name_scientific
Chova piquigualda,Pyrrhocorax graculus
Chova piquirroja,Pyrrhocorax pyrrhocorax
Cigüeña blanca,Ciconia ciconia
Cigüeña negra,Ciconia nigra
Cigüeñuela común,Himantopus himantopus
Cisne vulgar,Cygnus olor
Cisticola buitrón,Cisticola juncidis
Codorniz común,Coturnix coturnix
Cogujada común,Galerida cristata
Cogujada montesina,Galerida theklae
Colimbo ártico,Gavia arctica
Colimbo chico,Gavia stellata
Colimbo grande,Gavia immer
Colirrojo real,Phoenicurus phoenicurus
Colirrojo tizón,Phoenicurus ochruros
Collalba gris,Oenanthe oenanthe
Collalba negra,Oenanthe leucura
Collalba rubia,Oenanthe hispanica
Combatiente,Philomachus pugnax
Cormorán grande,Phalacrocorax carbo
Cormorán moñudo,Phalacrocorax aristotelis
Corneja común,Corvus corone
Corredor sahariano,Cursorius cursor
Correlimos común,Calidris alpina
Correlimos de Temminck,Calidris temminckii
Correlimos menudo,Calidris minuta
Correlimos oscuro,Calidris maritima
Correlimos tridáctilo,Calidris alba
Correlimos zarapitín,Calidris ferruginea
Cotorra argentina,Myiopsitta monachus
Cotorra de Kramer,Psittacula krameri
Críalo europeo,Clamator glandarius
Cuchara común,Anas clypeata
Cuco común,Cuculus canorus
Cuervo grande,Corvus corax
Culebrera europea,Circaetus gallicus
Curruca balear,Sylvia balearica
Curruca cabecinegra,Sylvia melanocephala
Curruca capirotada,Sylvia atricapilla
Curruca carrasqueña,Sylvia cantillans
Curruca mirlona,Sylvia hortensis
Curruca mosquitera,Sylvia borin 
Curruca rabilarga,Sylvia undata
Curruca tomillera,Sylvia conspicillata
Curruca zarcera,Sylvia communis
Jilguero,Carduelis carduelis
Jilguero lúgano,Carduelis spinus
Negrón común,Melanitta nigra
Negrón especulado,Melanitta fusca
Lagópodo alpino,Lagopus muta
Lavandera blanca,Motacilla alba
Lavandera boyera,Motacilla flava
Lavandera cascadeña,Motacilla cinerea
Lechuza común,Tyto alba
Malvasía cabeciblanca,Oxyura leucocephala
Martín pescador común,Alcedo atthis
Martinete común,Nycticorax nycticorax
Mérgulo atlántico,Alle alle
Milano negro,Milvus migrans
Milano real,Milvus milvus
Mirlo acuático europeo,Cinclus cinclus
Mirlo capiblanco,Turdus torquatus
Mirlo común,Turdus merula
Mito,Aegithalos caudatus
Mochuelo boreal,Aegolius funereus
Mochuelo europeo,Athene noctua
Morito común,Plegadis falcinellus
Mosquitero canario,Phylloscopus canariensis
Mosquitero común,Phylloscopus collybita
Mosquitero ibérico,Phylloscopus ibericus
Mosquitero musical,Phylloscopus trochilus
Mosquitero papialbo,Phylloscopus bonelli
Mosquitero silbador,Phylloscopus sibilatrix
Oropéndola europea,Oriolus oriolus
Ostrero euroasiático,Haematopus ostralegus
Págalo grande,Stercorarius skua
Págalo parásito,Stercorarius parasiticus
Págalo pomarino,Stercorarius pomarinus
Pagaza piconegra,Gelochelidon nilotica
Pagaza piquirroja,Hydropogne caspia
Paíño boreal,Oceanodroma leucorhoa
Paíño de Madeira,Oceanodroma castro
Paíño de Wilson,Oceanites oceanicus
Paíño europeo,Hydrobates pelagicus
Paíño pechialbo,Pelagodroma marina
Pájaro-moscón europeo,Remiz pendulinus
Paloma bravía,Columba livia
Paloma rabiche,Columba junoniae
Paloma torcaz,Columba palumbus
Paloma turqué,Columba bollii
Paloma zurita,Columba oenas
Papamoscas cerrojillo,Ficedula hypoleuca
Papamoscas gris,Muscicapa striata
Pardela balear,Puffinus mauretanicus
Pardela capirotada,Puffinus gravis
Pardela cenicienta,Calonectris diomedea
Pardela chica,Puffinus assimilis
Pardela mediterránea,Puffinus yelkouan
Pardela pichoneta,Puffinus puffinus
Pardela sombría,Puffinus griseus
Pardillo común,Carduelis cannabina
Pato colorado,Netta rufina
Pato havelda,Clangula hyemalis
Perdiz moruna,Alectoris barbara
Perdiz pardilla,Perdix perdix
Perdiz roja,Alectoris rufa
Petirrojo europeo,Erithacus rubecula
Petrel de Bulwer,Bulweria bulwerii
Picamaderos negro,Dryocopus martius
Pico mediano,Dendrocopos medius
Pico menor,Dendrocopos minor
Pico picapinos,Dendrocopos major
Picogordo,Coccothraustes coccothraustes
Pinzón azul,Fringilla teydea
Pinzón real,Fringilla montifringilla
Pinzón vulgar,Fringilla coelebs
Piquituerto común,Loxia curvirostra
Pito real,Picus viridis
Polluela bastarda,Porzana parva
Polluela chica,Porzana pusilla
Polluela pintoja,Porzana porzana
Porrón bastardo,Aythya marila
Porrón europeo,Aythya ferina
Porrón moñudo,Aythya fuligula
Porrón osculado,Bucephala clangula
Porrón pardo,Aythya nyroca
Quebrantahuesos,Gypaetus barbatus
Serín canario,Serinus canaria
Serín verdecillo,Serinus serinus
Serreta mediana,Mergus serrator
Silbón europeo,Anas penelope
Sisón común,Tetrax tetrax
Somormujo cuellirrojo,Podiceps grisegena
Somormujo lavanco,Podiceps cristatus
Rabilargo,Cyanopica cyanus
Rascón europeo,Rallus aquaticus
Reyezuelo listado,Regulus ignicapilla
Reyezuelo sencillo,Regulus regulus
Roquero rojo,Monticola saxatilis
Roquero solitario,Monticola solitarius
Ruiseñor común,Luscinia megarhynchos
Ruiseñor del Japón,Leiothrix lutea
Ruiseñor pechiazul,Luscinia svecica
Urogallo común,Tetrao urogallus
Urraca,Pica pica
Vencejo cafre,Apus caffer
Vencejo común,Apus apus
Vencejo real,Apus melba
Vencejo unicolor,Apus unicolor
Verderón común,Chloris chloris
Verderón serrano,Carduelis citrinella
Vuelvepiedras común,Arenaria interpres
Tarabilla canaria,Saxicola dacotiae
Tarabilla europea,Saxicola rubicola
Tarabilla norteña,Saxicola rubetra
Tarro blanco,Tadorna tadorna
Tarro canelo,Tadorna ferruginea
Terrera común,Calandrella brachydactyla
Terrera marismeña,Calandrella rufescens
Torcecuello euroasiático,Jynx torquilla
Torillo andaluz,Turnix sylvaticus
Tórtola europea,Streptopelia turtur
Tórtola rosigris,Streptopelia roseogrisea
Tórtola senegalesa,Streptopelia senegalensis
Tórtola turca,Streptopelia decaocto
Trepador azul,Sitta europaea
Treparriscos,Tichodroma muraria
Zampullín común,Tachybaptus ruficollis
Zampullín cuellinegro,Podiceps nigricollis
Zampullín cuellirrojo,Podiceps auritus
Zarapito real,Numenius arquata
Zarapito trinador,Numenius phaeopus
Zarcero bereber,Iduna opaca
Zarcero icterino,Hippolais icterina
Zarcero políglota,Hippolais polyglotta
Zorzal alirrojo,Turdus iliacus
Zorzal charlo,Turdus viscivorus
Zorzal común,Turdus philomelos
Zorzal real,Turdus pilaris
